id,category,name,condition,target,reward,hidden
AC001,진행,첫 등불,CH1 클리어,1,"별가루 50",false
AC002,진행,열 개의 구역,CH10 클리어,1,"별가루 100; 특성점수 2",false
AC003,진행,스무 개의 구역,CH20 클리어,1,"별가루 150; 특성점수 3",false
AC004,진행,서른 개의 구역,CH30 클리어,1,"별가루 200; 특성점수 4",false
AC005,진행,마흔 개의 구역,CH40 클리어,1,"별가루 250; 특성점수 5",false
AC006,진행,쉰 개의 구역,CH50 클리어,1,"별가루 300; 특성점수 6",false
AC007,진행,등불의 수호자,CH60 클리어,1,"별가루 500; CO100 등대의 훈장; 칭호",false
AC008,진행,모든 별,챕터 별점 180개,180,"별가루 1000; 칭호 '완벽주의자'",false
AC009,진행,별 백 개,챕터 별점 100개,100,"별가루 300",false
AC010,진행,계정 Lv 30,계정 레벨 30,30,"특성점수 5",false
AC011,진행,계정 Lv 60,계정 레벨 60,60,"특성점수 10",false
AC012,진행,계정 Lv 100,계정 레벨 100,100,"별가루 500; 칭호",false
AC013,도전,규칙 파괴자 I,도전 클리어,30,"부품 코어 100",false
AC014,도전,규칙 파괴자 II,도전 클리어,90,"부품 코어 300; 별가루 200",false
AC015,도전,규칙 파괴자 III,도전 클리어,180,"별가루 800; 칭호 '규칙 위의 파수꾼'",false
AC016,도전,어둠에 익숙한,R02 규칙 도전 클리어,10,"CO061 황혼 나침반",false
AC017,도전,두 장으로 충분해,R05 규칙 도전 클리어,10,"별가루 100",false
AC018,도전,회복 없이,R08 규칙 도전 클리어,10,"CO016 녹슨 방패 조각",false
AC019,도전,모든 파수꾼,R21 지정 캐릭터 도전 12종 캐릭터 모두 클리어,12,"인장 선택 100",false
AC020,전투,천 마리,누적 처치 1000,1000,"금화 2000",false
AC021,전투,십만 마리,누적 처치 100000,100000,"별가루 200",false
AC022,전투,백만 마리,누적 처치 1000000,1000000,"별가루 800; 칭호 '그림자 학살자'",false
AC023,전투,엘리트 사냥꾼,엘리트 처치 500,500,"CO076 사냥 표식",false
AC024,전투,보스 사냥꾼,보스 처치 100,100,"CO077 거인 잡는 밧줄",false
AC025,전투,무피해,최종 보스 무피해 처치,1,"별가루 100",false
AC026,전투,무피해 장인,최종 보스 무피해 처치 30회,30,"CO078 추적자의 눈",false
AC027,전투,천 개의 레벨,판 내 레벨업 누적 1000,1000,"별가루 100",false
AC028,전투,만렙 도달,판 내 레벨 60 도달,1,"별가루 200",false
AC029,전투,15분 완주,완전 모드 클리어 50회,50,"금화 20000",false
AC030,전투,속공왕,속공 모드 클리어 50회,50,"별가루 150",false
AC031,전투,광휘 백 번,고유 능력 발동 100회,100,"CO001 낡은 등불 손잡이",false
AC032,전투,광휘 천 번,고유 능력 발동 1000회,1000,"CO003 등불지기의 일지",false
AC033,전투,어둠의 수확,어둠 지대 보석 흡수 10000,10000,"CO062 탐험가의 부츠 끈",false
AC034,전투,봉화 지킴이,봉화 점화 후 무피해 클리어 10회,10,"CO071 식은 잿더미",false
AC035,빌드,첫 진화,진화 1회,1,"별가루 30",false
AC036,빌드,진화 도감 I,서로 다른 진화 12종,12,"부품 상자 2",false
AC037,빌드,진화 도감 II,서로 다른 진화 24종,24,"별가루 300; 칭호 '진화의 대가'",false
AC038,빌드,융합 연구자,융합 4종 모두 달성,4,"별가루 200",false
