id,name,category,effect,param_default,counter_axis
R01,좁은 시야,시야,"시야 반경 -40%",0.6,"광선·장판·회전 등 근접 자동형 유리"
R02,완전한 어둠,시야,"어둠 지대 100%(보석 ×1.5 유지)",1.0,"C12 솔·봉화 수집품"
R03,느린 발,이동,"이동 속도 -25%(상한 계산 후)",0.75,"인력·설치형"
R04,미끄러운 바닥,이동,"정지 시 0.5s 관성",0.5,"원거리·드론"
R05,두 장의 카드,선택,"레벨업 선택지 3→2",2,"빌드 청사진·잠금"
R06,새로고침 금지,선택,"새로고침·제외 사용 불가(잠금 허용)",0,"범용 빌드"
R07,멈춘 시계,선택,"쿨다운 감소(P05·장비·캐릭터) 무효",0,"즉발형 스킬"
R08,회복 봉인,회복,"자연 회복·흡혈·회복 아이템 무효(보호막·부활 허용)",0,"보호막·방어·소환 어그로"
R09,약한 회복,회복,"모든 회복 -50%",0.5,"P17 보호막"
R10,날카로운 이빨,피해,"접촉 피해 ×2",2,"넉백·원거리"
R11,짧은 고통,상태이상,"상태 이상 지속 -50%",0.5,"직접 피해"
R12,엘리트 행진,적,"엘리트 등장 간격 ×0.5",0.5,"단일 DPS"
R13,줄어든 탄창,스킬,"projectile 스킬 투사체 -1(최소 1)",-1,"광선·회전·장판"
R14,근접 전용,스킬,"발사 지점에서 4u 초과 거리의 피해 -50%",0.5,"근접·회전·장판"
R15,원거리 전용,스킬,"3u 미만 거리의 피해 -50%",0.5,"투사체·폭격"
R16,소환 금지,스킬,"summon 태그 스킬 미등장",0,"직접 공격"
R17,시간 압축,시간,"판 길이 10분 고정, 생성량 ×1.5, 보석 ×1.4",1.5,"속공 빌드"
R18,보스 러시,적,"중간 보스 5회(2:00/4:30/7:00/9:30/12:00), 상자 3회만",5,"보스 DPS"
R19,폭주,적,"적 이동 속도 +30%",1.3,"군중 제어"
R20,두꺼운 가죽,적,"적 체력 +50%, 보석 값 +50%",1.5,"DoT·관통"
R21,지정 파수꾼,제한,"특정 캐릭터로만 입장",C##,"캐릭터 육성"
R22,봉인된 기술,제한,"특정 스킬 2종 미등장",S##;S##,"대체 빌드"
R23,얇은 지원,제한,"패시브 슬롯 6→3",3,"공격 위주"
R24,광휘 봉인,제한,"고유 능력 발동 불가",0,"스킬 의존"
R25,홀로,제한,"펫 미출전(지원 효과 유지)",0,"자체 생존"
R26,화살비,적,"ranged 적 발사 빈도 ×2",2,"차단·방벽·회피"
