id,name,env,map_structure,time_limit,enemy_mult,enemy_mix,gimmick,mid_bosses,final_boss,first_clear_reward,repeat_reward,unlocks,wave_template,wave_params
CH01,첫 등불,ENV01,open,10:00(고정 튜토리얼),1.00,"EN01;EN02","없음(어둠 지대 없음)","EL01(2:00);BS01m(5:00)",BS01,"금화 500; 별가루 30; 장비 상자(일반) 2; 특성점수 1","금화 120; 장비 상자 확률 20%","장비 화면; 일일 미션",WT01,"density=0.6;elite_int=999;dark=0"
CH02,버려진 마을 입구,ENV02,corridor,15:00,1.11,"EN01;EN03;EN04","좁은 골목 3갈래; 파괴 가능 수레(HP 30, 파괴 시 회복 아이템 15%)","EL01(3:00);BS01m(7:30);EL03(11:00)",BS03,"금화 700; 별가루 30; 장비 상자(일반) 2; C02 인장 30","금화 150; 장비 상자 20%","캐릭터 화면; C02",WT02,"density=0.7;elite_int=150;dark=0.1"
CH03,들개의 언덕,ENV01,open,15:00,1.23,"EN01;EN02;EN05;EN07","가시 덤불 랜덤 배치; 어둠 지대 10%","EL02(3:00);BS01m(7:30);EL01(11:00)",BS02,"금화 900; 별가루 30; 장비 상자(고급) 1; 특성점수 2","금화 180; 장비 상자 22%","특성; 장비 프리셋",WT09,"density=0.75;elite_int=140;dark=0.1"
CH04,등대 절벽,ENV03,arena,15:00,1.37,"EN01;EN02;EN06;EN11","원형 경기장(반경 9u); 절벽 가장자리 초당 3% 피해; 정령 우선 처치","EL01(3:00);BS03m(7:30);EL02(11:00)",BS05,"금화 1100; 별가루 40; 장비 상자(고급) 1; 특성점수 1","금화 210; 장비 상자 22%","일일 자원 던전",WT03,"density=0.8;elite_int=130;dark=0.15;arena_r=9"
CH05,안개 늪,ENV04,open,15:00,1.52,"EN01;EN06;EN08;EN13","시야 반경 6u(기본 9u); 균류 자폭; 어둠 지대 30%","EL04(3:00);BS02m(7:30);EL01(11:00)",BS07,"금화 1300; 별가루 40; 부품 상자 1; 특성점수 2","금화 240; 장비 상자 24%","규칙 변형 도전(1~5); 부품 공방",WT11,"density=0.8;elite_int=130;dark=0.3;vision=6"
CH06,황혼 초원 깊숙이,ENV01,open,15:00,1.69,"EN01;EN02;EN04;EN05;EN10","어둠 지대 25%; 인형 분열","EL02(3:00);BS05m(7:30);EL01(11:00)",BS01v1,"금화 1500; 별가루 40; 장비 상자(고급) 2; C03 인장 30","금화 270; 장비 상자 24%","펫 사육장; C03",WT07,"density=0.85;elite_int=120;dark=0.25;boss_variant=가시 뿌리(뿌리 솟구침 9곳)"
CH07,거목의 그늘,ENV01,open,15:00,1.87,"EN01;EN04;EN07;EN08;EN12","가시 덤불 다수; 늑대 무리 협공","EL01(3:00);BS07m(7:30);EL02(11:00)",BS01,"금화 1700; 별가루 40; 부품 상자 1; 특성점수 2","금화 300; 장비 상자 26%","",WT05,"density=0.9;elite_int=120;dark=0.25"
CH08,종탑 거리,ENV02,corridor,15:00,2.08,"EN03;EN04;EN09;EN10;EN11","골목 봉쇄 기믹(60s마다 통로 1개 30s 폐쇄); 궁수 후방 사격","EL03(3:00);BS04m(7:30);EL01(11:00)",BS03,"금화 1900; 별가루 40; 장비 상자(희귀) 1; 특성점수 1","금화 330; 장비 상자 26%","수집품",WT06,"density=0.9;elite_int=110;dark=0.2;gate_cycle=60/30"
CH09,늑대 사냥터,ENV01,open,15:00,2.30,"EN02;EN05;EN12;EN06","늑대 무리 10마리 단위; 어둠 지대 30%","EL02(3:00);BS02m(7:30);EL12(11:00)",BS02,"금화 2100; 별가루 50; 부품 상자 1; 특성점수 2","금화 360; 장비 상자 28%","",WT05,"density=1.0;elite_int=110;dark=0.3"
CH10,등대의 심장,ENV03,arena,15:00,2.56,"EN01;EN06;EN11;EN39;EN09","경기장 반경 8u; 공명 종 보호막; 6:00부터 경기장 축소 7u","EL01(3:00);BS06m(7:30);EL04(11:00)",BS05,"금화 2400; 별가루 60; 장비 상자(희귀) 1; C-인장 선택 30; 특성점수 2","금화 400; 장비 상자 28%","보스 점수 도전; 주간 미션",WT03,"density=1.0;elite_int=100;dark=0.15;arena_r=8;shrink_at=360"
