id,set_id,name,rarity,effect_type,effect,lv5_effect,cap,source
CO001,SET01,낡은 등불 손잡이,rare,stat,"광휘 획득 +2%","+6%","광휘 획득 합산 +60%","메인 드롭"
CO002,SET01,그을린 심지,rare,rule,"고유 능력 발동 시 1s 무적","2s","무적 합산 3s","메인 드롭"
CO003,SET01,등불지기의 일지,epic,util,"판 시작 시 광휘 +20","+40","시작 광휘 80","위험 구역"
CO004,SET01,유리 갓,epic,stat,"고유 능력 피해 +8%","+20%","+60%","위험 구역"
CO005,SET01,꺼지지 않는 불씨,legend,rule,"고유 능력 발동 시 어둠 지대 3s 해제(반경 5u)","6s","—","위험 구역 보스"
CO006,SET02,깃털 화살촉,rare,stat,"투사체 속도 +4%","+10%","+60%","메인 드롭"
CO007,SET02,활시위 밀랍,rare,stat,"projectile 피해 +2%","+6%","+40%","메인 드롭"
CO008,SET02,사수의 반지,epic,util,"투사체 크기 +6%","+15%","+50%","메인 드롭"
CO009,SET02,바람 깃털,epic,rule,"projectile 스킬 첫 발사 2연발(판당 스킬별 1회)","3연발","—","메인 드롭"
CO010,SET02,전설의 활대,legend,rule,"투사체가 화면 밖에서 소멸 대신 반대편에서 재등장(1회)","2회","—","보스 점수 상점"
CO011,SET03,화약 주머니,rare,stat,"폭발 피해 +2%","+6%","+40%","도전 상점"
CO012,SET03,도화선,rare,util,"지연 폭격 예고 -0.1s","-0.25s","예고 최소 0.4s","도전 상점"
CO013,SET03,폭파공의 고글,epic,rule,"자기 폭발 피해 면역","+ 폭발 시 광휘 +1","—","도전 상점"
CO014,SET03,압축 화약통,epic,stat,"폭발 반경 +4%","+10%","+50%","도전 상점"
CO015,SET03,유리 폭탄,legend,rule,"폭발 명중 적 5% 확률 즉시 재폭발(보스 제외)","12%","—","도전 상점"
CO016,SET04,녹슨 방패 조각,rare,stat,"방어 +6","+15","—","위험 구역"
CO017,SET04,맹세의 인장,rare,stat,"최대 체력 +2%","+5%","—","위험 구역"
CO018,SET04,철벽 문장,epic,rule,"접촉 피해 초당 상한 40%→35%","→30%","—","위험 구역"
CO019,SET04,방패병의 갑주 파편,epic,stat,"받는 피해 -2%","-5%","피해감소 합산 70%","위험 구역"
CO020,SET04,불멸의 맹세,legend,rule,"판당 1회 치명적 피해를 체력 1로 버팀(부활과 별개)","2회","—","위험 구역 보스"
CO021,SET05,말린 약초,rare,stat,"회복 효과 +3%","+8%","+60%","자원 던전"
