id,name,type,source_a,source_b,behavior_change,dmg_coef,interval_s,upgrades,visual
E01,별빛 화살비,evolution,S01,P03,"3발 유도 → 5발 유도; 명중 시 0.8u 소폭발(계수 0.4); 폭발은 감전 적에게 ×1.3",1.25,0.90,"Lv2 소폭발 반경 1.1u / Lv3 화살 +2","금색 꼬리 화살"
E02,창의 벽,evolution,S02,P15,"창이 사거리 끝에서 3s 동안 벽으로 남아 통과 적에게 0.25s마다 계수 0.3; 3s 후 플레이어에게 되돌아오며 재타격",1.80,1.40,"Lv2 벽 지속 4s / Lv3 창 4개","빛나는 창 잔상"
E03,폭풍 산탄,evolution,S03,P02,"3점사(0.15s 간격); 명중 파편이 1회 튕겨 인접 적 타격(계수 0.3)",0.55,1.50,"Lv2 4점사 / Lv3 튕김 2회","화염 섬광 총구"
E04,뇌전 폭풍,evolution,S04,P18,"감전 상태 적이 사망하면 1.5u 방전(계수 0.6, 감전 부여) → 연쇄 자동 확산; 갈래 3",1.00,1.30,"Lv2 방전 반경 2u / Lv3 갈래 4","보라 번개"
E05,황혼의 톱니,evolution,S05,P04,"낫 4개가 반경 3.5u 톱니 링으로 합쳐짐; 닿은 적 출혈 + 넉백 0.5u; 2s마다 링이 5u까지 팽창 파동(계수 0.8)",0.70,0.35,"Lv2 팽창 1.5s마다 / Lv3 반경 4u","검붉은 회전 링"
E06,성역의 낙인,evolution,S06,P14,"설치형 → 플레이어를 따라오는 영구 성역 1개(반경 2.5u); 안의 적 둔화 30%; 플레이어 받는 피해 -15%; 추가로 5s마다 DENSEST 지점에 기존 장판 1개",0.40,5.00,"Lv2 반경 3u / Lv3 받는 피해 -20%","흰 원형 문양"
E07,지휘 드론,evolution,S07,P05,"드론 3기 편대 → 삼각형 레이저 격자(내부 0.2s마다 계수 0.3); 각 드론이 2s마다 미사일(계수 1.2, 반경 1u)",0.50,0.45,"Lv2 미사일 1.5s / Lv3 격자 폭 +30%","청록 레이저"
E08,요새 포탑,evolution,S08,P10,"포탑 영구화(HP = 플레이어 최대 체력 50%, 파괴 시 12s 후 재설치); 최대 2기 유지; 치명타 시 박격 폭발 반경 1.5u(계수 1.0)",0.65,0.35,"Lv2 포탑 HP +50% / Lv3 박격 반경 2u","철제 포탑 + 포연"
E09,화염 폭풍 항아리,evolution,S09,P01,"폭발이 3연쇄(주폭발 후 0.3s 간격 소폭발 2회 계수 0.6, 반경 1.2u); 화상 2중첩; 항아리 3개",1.60,1.80,"Lv2 소폭발 3회 / Lv3 화상 3중첩","주황 폭염"
E10,유성우,evolution,S10,P11,"플레이어 이동 경로를 따라 0.3s 간격 8발 궤적 폭격; 치명타 시 2s 크레이터 장판(0.5s마다 0.4)",2.20,4.00,"Lv2 10발 / Lv3 예고 0.4s","푸른 유성"
E11,혜성 구슬,evolution,S11,P08,"구슬 크기 0.6u; 궤적에 0.8s 잔류 장판(0.2s마다 0.15); 튕길 때 1회 분열(작은 구슬 2, 튕김 3)",0.95,1.60,"Lv2 분열 2회 / Lv3 구슬 4","꼬리 달린 흰 구슬"
E12,회전 등대,evolution,S12,P05,"광선이 플레이어 중심 360° 회전(8s/1바퀴) 영구 조사; 폭 0.8u 길이 8u; 닿은 적 표식 5s",0.32,0.10,"Lv2 회전 6s / Lv3 광선 2개(대칭)","황금 광선"
E13,역병의 왕관,evolution,S13,P18,"투척 대신 플레이어 주변 2.5u 독 오라(0.5s마다 0.25); 독 5중첩 적 폭발(계수 1.5, 반경 1.5u, 독 확산)",0.28,0.50,"Lv2 오라 3u / Lv3 폭발 계수 2.0","녹색 안개 왕관"
E14,핏빛 맹세,evolution,S14,P13,"베기가 전방 3u 직선 파동(관통)으로 발사; 체력 50% 이하 시 2연격; 처치 시 체력 1% 회복(초당 상한 적용)",1.40,0.85,"Lv2 파동 4u / Lv3 3연격","붉은 검기"
E15,쌍둥이 달,evolution,S15,P03,"부메랑 3개가 반경 2u 궤도 상시 회전(0.4s마다 계수 0.5); 2s마다 무작위 적에게 발사 후 복귀(계수 1.0)",0.85,0.40,"Lv2 궤도 4개 / Lv3 발사 1.5s","은빛 초승달"
E16,빙하 폭발,evolution,S16,P17,"파편 착탄 지점에 얼음 결정(2s 후 폭발 반경 1.5u 계수 1.2, 빙결); 결정은 적 이동 차단 장애물",0.50,1.30,"Lv2 결정 지속 3s / Lv3 폭발 반경 2u","푸른 얼음 결정"
E17,지옥 채찍,evolution,S17,P06,"4방향 채찍이 90°씩 회전하며 연속 휘두름(0.35s); 궤적에 1.5s 화염 장판(0.5s마다 0.3)",0.90,0.35,"Lv2 장판 2.5s / Lv3 반경 3u","화염 궤적"
E18,추적 지뢰,evolution,S18,P07,"지뢰가 4u 내 적을 향해 3u/s 굴러가 폭발; 폭발 시 파편 3발(계수 0.5, 관통 1); 최대 12개",2.00,1.20,"Lv2 파편 5 / Lv3 속도 5u/s","붉은 눈의 지뢰"
E19,달빛 무리,evolution,S19,P12,"늑대 3마리가 같은 적 집중 공격; 3마리 동시 물기 시 출혈 폭발(계수 1.5, 반경 1.2u); 늑대가 처치 시 플레이어 체력 0.5% 회복",1.00,0.70,"Lv2 늑대 4 / Lv3 폭발 계수 2.0","푸른 영혼 늑대"
E20,특이점,evolution,S20,P04,"플레이어를 따라다니는 영구 인력장 3u(초당 2u 인력); 5s마다 압축 폭발(계수 2.0, 반경 3u); 기존 구슬은 삭제",0.30,0.50,"Lv2 폭발 4s마다 / Lv3 인력장 3.5u","검은 구체 + 왜곡"
E21,빛의 군체,evolution,S21,P16,"기본 12발; 보석 흡수마다 추가 빛덩이 1발(초당 최대 10발, 계수 0.3)",0.45,1.20,"Lv2 초당 15발 / Lv3 기본 16발","금빛 무리"
E22,천벌,evolution,S22,P09,"낙뢰가 자석 반경 내 적을 우선 타격(반경 내 적 수만큼 최대 12회); 낙뢰 지점 0.5s 전기장(0.1s마다 0.2)",1.40,2.50,"Lv2 최대 16회 / Lv3 전기장 1s","흰 번개 기둥"
E23,운명의 주사위,evolution,S23,P10,"자해 제거(눈 1 = 플레이어 둔화 2s); 눈 6 연속 2회 시 화면 전체 폭발(계수 3.0); 주사위 3개",1.00,2.00,"Lv2 눈 6 계수 8.0 / Lv3 주사위 4","금색 주사위"
E24,황혼의 쌍둥이,evolution,S24,P02,"분신 2가 플레이어 좌우 1.2u 고정; 모든 공격 슬롯을 40% 복제; 적이 30% 확률로 분신을 목표로 삼음(피해는 플레이어에게 가지 않음)",0.40,0.00,"Lv2 복제 50% / Lv3 도발 45%","반투명 검은 분신"
F01,지연 폭약,fusion,S09,S18,"지뢰 설치 지점에 3s마다 항아리 1개 자동 투척(계수 1.4); 지뢰 폭발 시 항아리 4개 사방 분사; 최대 지뢰 8",2.00,1.50,"Lv2 항아리 6 / Lv3 지뢰 12","화약통 지뢰"
F02,폭풍의 눈,fusion,S04,S22,"플레이어 주변 4u 상시 뇌운; 2s마다 낙뢰 5회(반경 내 무작위); 감전 적 사이 자동 연쇄(3u, 계수 0.6)",1.30,2.00,"Lv2 낙뢰 7 / Lv3 반경 5u","머리 위 먹구름"
F03,이동 요새,fusion,S07,S08,"포탑 2기가 드론처럼 플레이어를 따라 비행; 사격(0.4s 계수 0.6) + 3s마다 미사일(계수 1.5 반경 1.2u); 파괴 불가",0.60,0.40,"Lv2 미사일 2s / Lv3 포탑 3","비행 포탑"
F04,화염 톱니,fusion,S05,S17,"회전 낫 링(반경 3u)이 화염 궤적 장판(1.5s)을 남김; 낫 4개 각 계수 0.8; 화상 부여",0.80,0.35,"Lv2 반경 3.5u / Lv3 낫 6","불타는 회전 링"
