id,type,name,condition,target,reward,weight,unlock,leads_to_mode
MS_D01,daily,첫 출정,메인 챕터 1판 완료(승패 무관),1,"금화 500; 에너지 10",10,CH1,M01
MS_D02,daily,등불 지키기,메인 챕터 클리어,1,"별가루 10",10,CH1,M01
MS_D03,daily,그림자 청소,적 처치,500,"금화 800",10,CH1,M01
MS_D04,daily,보석 수집가,보석 흡수,800,"에너지 10",8,CH1,M01
MS_D05,daily,진화의 길,진화 또는 융합 1회,1,"별가루 10",8,CH1,M01
MS_D06,daily,보급 창고,일일 자원 던전 1회,1,"사료 20",10,CH4,M03
MS_D07,daily,장인의 손,장비 합성 또는 레벨업 3회,3,"금화 600",8,CH1,-
MS_D08,daily,새 규칙,규칙 변형 도전 1판,1,"부품 코어 5",8,CH5,M02
MS_D09,daily,거대한 그림자,보스 점수 도전 기록 1회,1,"부품 코어 8",8,CH10,M04
MS_D10,daily,탑 오르기,등반탑 1층 이상 클리어,1,"특성점수 1",6,CH12,M05
MS_D11,daily,엘리트 사냥,엘리트 처치,5,"별가루 10",8,CH2,M01
MS_D12,daily,동료와 함께,펫 출전 상태로 1판 클리어,1,"사료 15",6,CH6,-
MS_D13,daily,다른 얼굴,기본 캐릭터가 아닌 캐릭터로 1판,1,"인장 선택 상자 조각 1",6,CH2,-
MS_D14,daily,광휘 폭발,고유 능력 발동,10,"금화 500",6,CH1,-
MS_D15,daily,어둠 속에서,어둠 지대에서 보석 200 흡수,200,"별가루 10",6,CH3,M01
MS_D16,daily,속공,속공(5분) 모드 클리어,1,"에너지 8",6,CH2,M01
MS_D17,daily,빠른 결산,빠른 전투 1회,1,"금화 400",5,TC11,M01
MS_D18,daily,상태 이상 전문가,상태 이상 피해 누적,20000,"부품 코어 5",6,CH5,-
MS_D19,daily,무피해 보스,중간 보스 1회 무피해 처치,1,"별가루 15",5,CH3,M01
MS_D20,daily,수집가,수집품 상자 1회 개봉,1,"수집 파편 20",5,CH8,-
MS_D21,daily,프리셋 활용,빌드 프리셋 불러오기 후 1판,1,"금화 400",5,CH3,-
MS_D22,daily,생존자,무한 생존 5분 이상,1,"훈장 10",6,CH18,M07
MS_D23,daily,위험 감수,위험 구역 1회 탈출,1,"수집 파편 30",6,CH15,M06
MS_D24,daily,원정 준비,원정 1판 진행,1,"각성석 1",5,CH20,M08
MS_W01,weekly,주간 파수,메인 챕터 클리어,12,"별가루 100; 장비 상자(희귀) 1",10,CH1,M01
MS_W02,weekly,대청소,적 처치,8000,"금화 8000",10,CH1,M01
MS_W03,weekly,규칙 정복,규칙 변형 도전 첫 클리어,3,"부품 상자 1",8,CH5,M02
MS_W04,weekly,보스 기록,보스 점수 도전 기록 갱신 1회 또는 6회 기록,1,"부품 코어 60",8,CH10,M04
MS_W05,weekly,등반,등반탑 층 클리어,5,"특성점수 3",8,CH12,M05
MS_W06,weekly,보급 완료,일일 자원 던전,12,"사료 100; 부품 코어 40",8,CH4,M03
MS_W07,weekly,위험 지대,위험 구역 탈출,3,"수집 파편 150",8,CH15,M06
MS_W08,weekly,장기 생존,무한 생존 15분,1,"훈장 60",6,CH18,M07
MS_W09,weekly,원정 완주,원정 1회 완주,1,"각성석 5",6,CH20,M08
MS_W10,weekly,진화 연구,서로 다른 진화·융합 5종 달성,5,"별가루 80",8,CH1,M01
MS_W11,weekly,캐릭터 순환,서로 다른 캐릭터 4명으로 클리어,4,"인장 선택 상자 조각 5",6,CH2,-
MS_W12,weekly,세트 실험,수집품 세트 3종 보너스 활성 상태로 클리어,3,"수집 파편 100",5,CH8,-
MS_W13,weekly,합성 장인,합성,15,"금화 6000",6,CH1,-
MS_W14,weekly,별을 모아,챕터 별점 획득,6,"특성점수 2",6,CH1,M01
MS_W15,weekly,부품 강화,부품 합성 또는 공명,3,"부품 코어 50",6,CH5,-
MS_W16,weekly,이벤트 참여,이벤트 토큰 획득,50,"별가루 60",5,이벤트,-
MS_W17,weekly,펫 육성,펫 레벨업,10,"사료 120",5,CH6,-
MS_W18,weekly,엘리트 수집,엘리트 처치,40,"장비 상자(영웅) 1",6,CH2,M01
MS_W19,weekly,모드 순회,서로 다른 모드 5종 플레이,5,"별가루 120",8,CH15,-
MS_W20,weekly,완벽한 판,완전 모드 무피해 최종 보스 클리어,1,"별가루 150",5,CH3,M01
