table_id,kind,roll_type,entry,item_ref,weight_or_price,qty,pity_or_limit,notes
RW_EQ_CHEST_N,drop,weighted_choice,일반 장비 상자,EQ:slot_random:grade=일반,70,1,-,"원형은 현재 챕터 이하 source_hint에서 균등"
RW_EQ_CHEST_N,drop,weighted_choice,일반 장비 상자,EQ:slot_random:grade=고급,30,1,-,""
RW_EQ_CHEST_F,drop,weighted_choice,고급 장비 상자,EQ:grade=고급,55,1,-,""
RW_EQ_CHEST_F,drop,weighted_choice,고급 장비 상자,EQ:grade=희귀,40,1,-,""
RW_EQ_CHEST_F,drop,weighted_choice,고급 장비 상자,EQ:grade=영웅,5,1,"20회마다 영웅 확정",""
RW_EQ_CHEST_R,drop,weighted_choice,희귀 장비 상자,EQ:grade=희귀,70,1,-,""
RW_EQ_CHEST_R,drop,weighted_choice,희귀 장비 상자,EQ:grade=영웅,27,1,-,""
RW_EQ_CHEST_R,drop,weighted_choice,희귀 장비 상자,EQ:grade=전설,3,1,"40회마다 전설 확정","합계 100"
RW_EQ_CHEST_E,drop,weighted_choice,영웅 장비 상자,EQ:grade=영웅,80,1,-,""
RW_EQ_CHEST_E,drop,weighted_choice,영웅 장비 상자,EQ:grade=전설,20,1,"10회마다 전설 확정",""
RW_EQ_CHEST_L,drop,guaranteed,전설 장비 상자,EQ:grade=전설,100,1,-,"슬롯 선택 가능. 항목 1개뿐이라 확정 지급"
RW_PART_CHEST,drop,weighted_choice,부품 상자(코어 30),PART:grade=일반,50,1,-,""
RW_PART_CHEST,drop,weighted_choice,부품 상자(코어 30),PART:grade=고급,30,1,-,""
RW_PART_CHEST,drop,weighted_choice,부품 상자(코어 30),PART:grade=희귀,15,1,-,""
RW_PART_CHEST,drop,weighted_choice,부품 상자(코어 30),PART:grade=영웅,5,1,"40회마다 영웅 확정","부품 종류는 24종 균등, '선호 스킬 3개' 지정 시 해당 ×2 가중"
RW_PET_CHEST,drop,weighted_choice,펫 상자(별가루 150),PET:grade=일반,60,1,-,"펫 종류: 상자 획득 가능 8종 균등(PT05/07/11/12 제외)"
RW_PET_CHEST,drop,weighted_choice,펫 상자(별가루 150),PET:grade=고급,30,1,-,""
RW_PET_CHEST,drop,weighted_choice,펫 상자(별가루 150),PET:grade=희귀,9,1,-,""
RW_PET_CHEST,drop,weighted_choice,펫 상자(별가루 150),PET:grade=영웅,1,1,"60회마다 영웅 확정; 10회마다 미보유 펫 확정(미보유 존재 시)",""
RW_COL_CHEST,drop,weighted_choice,수집품 상자(파편 100),COL:rarity=rare,70,1,-,"업적 세트 SET20 제외"
RW_COL_CHEST,drop,weighted_choice,수집품 상자(파편 100),COL:rarity=epic,25,1,-,""
RW_COL_CHEST,drop,weighted_choice,수집품 상자(파편 100),COL:rarity=legend,5,1,"40회마다 전설 확정",""
RW_COL_SET_CHEST,drop,weighted_choice,세트 지정 상자(파편 120),COL:set=chosen:rarity=rare,65,1,-,"지정 세트 5종 중"
RW_COL_SET_CHEST,drop,weighted_choice,세트 지정 상자(파편 120),COL:set=chosen:rarity=epic,28,1,-,""
RW_COL_SET_CHEST,drop,weighted_choice,세트 지정 상자(파편 120),COL:set=chosen:rarity=legend,7,1,"30회마다 전설 확정",""
RW_CH_REPEAT,drop,independent_rolls,챕터 반복 드롭,장비 상자(챕터 구간 등급),@chapters.repeat_reward,1,-,"CH1~10 일반, 11~25 고급, 26~40 희귀, 41~55 영웅, 56~60 영웅+전설 5%. weight_or_price는 확률(%)이며 `@테이블.필드` 표기는 해당 챕터 데이터의 동적 참조. 아래 회복 아이템 행과는 서로 독립적으로 판정(가중치 합 100 검사 대상 아님)"
RW_CH_REPEAT,drop,independent_rolls,챕터 반복 드롭,회복 아이템(판 내),8,-,-,"엘리트 15%, 구조물 8%. 위 장비 상자 행과 독립 판정"
RW_ELITE,drop,independent_rolls,엘리트 드롭,빛의 파편(전량 흡수),10,1,-,"세 행 모두 독립 판정(합 125%는 정상 — 가중치 합 100 검사 제외 테이블)"
RW_ELITE,drop,independent_rolls,엘리트 드롭,회복 아이템,15,1,-,""
RW_ELITE,drop,independent_rolls,엘리트 드롭,금화 주머니(챕터×20),100,1,-,"100% 확정 지급"
RW_SHOP_MEDAL,shop,guaranteed,훈장 상점,C05 인장,600,30,"주 1회",""
RW_SHOP_MEDAL,shop,guaranteed,훈장 상점,인장 선택 상자,300,10,"주 3회",""
RW_SHOP_MEDAL,shop,guaranteed,훈장 상점,부품 상자,120,1,"주 10회",""
RW_SHOP_MEDAL,shop,guaranteed,훈장 상점,강화석,40,1,"주 20회",""
