id,name,theme,bonus_3,bonus_5,build_axis,source
SET01,등불지기의 유품,광휘·고유 능력,"광휘 획득 +10%","고유 능력 재발동 간격 12s→9s, 발동 시 보호막 10%",C01·광휘 빌드,"메인 챕터 드롭 + 위험 구역"
SET02,사수의 도구,투사체,"투사체 속도 +15%","projectile 스킬 관통 +1",B01·B02,"메인 챕터 드롭"
SET03,폭파공 키트,폭발,"폭발 반경 +10%","폭발이 적 투사체 소멸",B05,"도전 상점"
SET04,방패병의 맹세,방어,"방어 +20","체력 50% 이하 시 받는 피해 -15%",B03,"위험 구역"
SET05,약초사 정원,회복,"회복 효과 +12%","흡혈 초당 상한 5%→7%",B04,"일일 자원 던전"
SET06,기계공 부품함,소환,"소환체 피해 +10%","소환체가 파괴될 때 반경 1.5u 계수 1.0 폭발",B06·B08,"등반탑"
SET07,도박사의 상자,치명타·위험,"치명타 피해 +20%","치명타 시 10% 확률 광휘 +5",B07,"보스 점수 상점"
SET08,야수술사의 가방,펫,"펫 피해 +15%","펫 부활 시간 -50%",B08,"펫 사육장 이벤트"
SET09,시간술사의 유물,쿨다운·지속,"지속 +10%","cooldown 스킬 간격 -8%(상한 내)",B09,"원정"
SET10,거인의 무기고,근접,"근접 피해 +12%","근접 공격이 적 넉백 시 기절 0.3s(보스 제외)",B10,"위험 구역"
SET11,역병의 표본,상태이상,"상태 이상 지속 +15%","보스 상태 이상 피해 저항 ×0.5→×0.7",B11,"무한 생존 상점"
SET12,사제의 성물,광선·장판,"beam·field 피해 +10%","표식 배율 1.5→1.7",B12,"메인 챕터 40+"
SET13,황혼 탐험 기록,어둠 지대,"어둠 지대 보석 +20%","어둠 지대에서 이동 속도 +15%, 시야 감소 절반",전 빌드(환경),"위험 구역"
SET14,등대 도시 기념품,경제,"금화 +10%","일일 자원 던전 입장 +1",경제,"이벤트 교환소"
SET15,고대 봉화의 조각,봉화,"봉화 반경 +25%","봉화 점화 시 화면 내 적 계수 3.0 피해 + 30% 체력 회복",후반 챕터,"메인 챕터 50+"
SET16,그림자 사냥꾼,엘리트·보스,"엘리트 피해 +10%","보스 단계 전환 시 5s 동안 보스 받는 피해 +20%",보스 점수,"보스 점수 상점"
SET17,바다 유리,보호막,"보호막 +5%","보호막 존재 시 피해 +8%",B03·방어형,"위험 구역"
SET18,잊힌 지도,이동·회피,"이동 속도 +6%","회피 +5%, 회피 시 광휘 +3",기동형,"원정"
SET19,축제의 기억,경험치,"경험치 +10%","레벨 20·30·40 도달 시 추가 카드 1장(선택지 4)",전 빌드,"이벤트 교환소"
SET20,파수단 훈장,결속,"모든 캐릭터 ATK/HP +2%","결속 Lv 상한 +5",계정 전역,"업적 보상"
