id,name,role,tags,aim,dmg_coef,interval_s,projectiles,pierce,range_u,duration_s,lv2,lv3,lv4,lv5,evo_passive,evo_passive_lv,evo_id,strength,weakness,part_id,perf_cost
S01,등불 화살,단일 추적,"projectile;homing;single",NEAREST,1.00,1.00,1,0,8.0,0,"투사체 +1","피해 +25%","간격 -15%","투사체 +1(총3)",P03,2,E01,"안정적 단일 DPS; 보스전 명중 보장","밀집 웨이브에 약함; 관통 없음",T01,2
S02,파수의 창,관통 직선,"projectile;pierce;line",FACING,1.60,1.40,1,999,10.0,0,"창 +1(부채꼴 15°)","피해 +30%","간격 -20%","창 +1(총3)",P15,2,E02,"통로형 맵에서 일렬 적 전멸","측면·포위에 취약; 조준 방향 의존",T02,2
S03,산탄 나팔총,산탄,"projectile;spread;knockback",NEAREST,0.50,1.20,6,0,5.0,0,"파편 +2","피해 +25%","넉백 +50%; 간격 -15%","파편 +2(총10)",P02,2,E03,"근거리 밀집 제압·넉백으로 공간 확보","사거리 짧음; 단일 보스 피해 낮음",T03,3
S04,번개 사슬,연쇄,"chain;shock;random",RANDOM_IN_RANGE,0.90,1.50,1,0,7.0,0,"연쇄 +2(총6)","피해 +25%","간격 -20%","갈래 +1(투사체 2)",P18,2,E04,"중간 밀집에서 효율 최고; 감전 부여","적이 흩어지면 연쇄 끊김; 단일 보스 보통",T04,2
S05,회전 낫,회전 근접 방어,"orbit;melee;bleed",ORBIT,0.60,0.40,2,999,2.2,0,"낫 +1","반경 +25%","피해 +30%","낫 +1(총4)",P04,2,E05,"접근하는 적 상시 제거; 조작 불필요","원거리 적·보스 사거리 밖; 회전 주기 2s 틈",T05,2
S06,성역 장판,설치형 장판,"field;dot;area",DENSEST,0.35,5.00,1,999,6.0,4.0,"지속 +2s","반경 +30%","동시 2개","피해 +40%",P14,2,E06,"경기장·좁은 길목 방어; 밀집 처리","이동하면 장판을 떠남; 보스에겐 낮은 피해",T06,2
S07,파수 드론,드론,"summon;drone;projectile",NEAREST,0.45,0.50,1,0,6.0,0,"드론 +1","피해 +30%","간격 -20%","드론 +1(총3)",P05,2,E07,"전방위 자동 사격; 이동 중 안정 DPS","개별 피해 낮음; 관통 없음",T07,3
S08,자동 포탑,설치 소환체,"summon;turret;stationary",SELF,0.55,9.00,1,0,7.0,8.0,"지속 +4s","피해 +30%","동시 2기","사격 간격 -30%",P10,2,E08,"경기장·보스전 고정 DPS; 어그로 분산","이동형 맵에서 두고 떠남; 설치 간격 김",T08,3
S09,폭발 항아리,폭발,"projectile;explosion;burn",NEAREST,1.40,2.00,1,0,6.0,0,"반경 +25%","항아리 +1","피해 +30%","폭발 후 화상 장판 2s",P01,2,E09,"밀집 순간 제압; 화상","느린 투척; 단일 대상 효율 보통",T09,2
S10,별똥별 폭격,지연 폭격,"strike;delayed;area",RANDOM_IN_RANGE,2.00,4.00,3,999,8.0,1.0,"지점 +2","예고 -0.3s","피해 +35%","지점 +3(총8)",P11,2,E10,"높은 단발 피해; 원거리 안전","예고 시간 동안 적이 벗어남; 빠른 적에 약함",T10,3
S11,튕기는 구슬,튕기는 투사체,"projectile;bounce",FACING,0.80,1.60,1,0,9.0,4.0,"구슬 +1","튕김 +3(총9)","피해 +30%","구슬 +1(총3); 튕길수록 피해 +10%",P08,2,E11,"통로·경기장에서 벽 반사로 폭발적 효율","개방형 맵에서 튕길 벽이 없음",T11,3
S12,등대 광선,지속 광선,"beam;continuous;mark",FACING,0.30,5.00,1,999,7.0,3.0,"길이 +2u","폭 +50%","피해 +35%","조사 4s",P05,2,E12,"일직선 관통 DPS 최상; 보스 딜","휴식 2s 공백; 방향 의존",T12,2
S13,역병 구름,상태 이상 확산,"field;poison;spread",NEAREST,0.20,3.00,1,999,6.0,3.0,"반경 +30%","지속 +2s","독 중첩 +1","사망 확산 구름 ×1.5",P18,2,E13,"밀집 웨이브에서 연쇄 확산; 지속 피해 누적","즉발 피해 없음; 보스 저항",T13,2
S14,혈맹의 검,위험 감수,"melee;risk;lifesteal",FACING,1.20,0.90,1,999,2.0,0,"피해 +25%","범위 +25%","간격 -15%","흡혈 3%",P13,2,E14,"체력 낮을수록 강함(잃은 체력 1%당 +1.5%, 최대 +90%)","근접 위험; 안정성 낮음",T14,1
S15,부메랑,왕복 투사체,"projectile;return;pierce",NEAREST,0.70,1.80,1,999,7.0,0,"부메랑 +1","피해 +30%","크기 +40%","부메랑 +1(총3)",P03,2,E15,"왕복 2회 타격; 중거리 관통","돌아오는 경로 예측 어려움; 느림",T15,2
S16,서리 파편,산탄+둔화,"projectile;spread;slow;freeze",NEAREST,0.45,1.30,5,0,6.0,0,"파편 +2","빙결 확률 10%","피해 +30%","파편 +3(총10); 빙결 20%",P17,2,E16,"군중 제어; 돌진형 적 대응","순수 피해 낮음; 보스 빙결 저항",T16,3
S17,화염 채찍,근접 부채꼴,"melee;burn;cone",FACING,0.80,0.70,1,999,2.5,0,"반경 +20%","후방 채찍 추가","피해 +30%","4방향",P06,2,E17,"근접 전방위 화상 누적; 빠른 간격","사거리 2.5u; 원거리 적",T17,2
S18,지뢰,설치형 폭발,"trap;explosion;stationary",SELF,1.80,1.50,1,999,1.4,60.0,"최대 +3(총9)","반경 +30%","피해 +35%","설치 간격 -30%",P07,2,E18,"추적당하며 이동 시 뒤쪽 처리; 높은 단발","정지 시 무용; 보스가 밟지 않음",T18,2
S19,영혼 늑대,소환 근접,"summon;melee;pet-like",NEAREST,0.90,0.80,1,0,8.0,0,"늑대 +1","피해 +30%","늑대 체력 +50%","늑대 +1(총3)",P12,2,E19,"어그로 분산; 원거리 적 추격","늑대 사망 시 6s 공백; 밀집에 약함",T19,2
S20,중력 구슬,끌어당김 장판,"field;pull;explosion",DENSEST,0.25,6.00,1,999,6.0,3.0,"반경 +30%","지속 +1.5s","폭발 +50%","동시 2개",P04,2,E20,"적을 모아 다른 스킬 효율 증폭; 종료 폭발","자체 피해 낮음; 보스 인력 무시",T20,1
S21,유도 빛덩이,다중 추적,"projectile;homing;multi",RANDOM_IN_RANGE,0.40,1.20,4,0,8.0,0,"빛덩이 +2","피해 +30%","간격 -20%","빛덩이 +4(총10)",P16,2,E21,"산개 적 전방위 처리; 조작 불필요","개별 피해 낮음; 성능 비용 높음",T21,4
S22,뇌운,랜덤 낙뢰,"strike;random;shock",RANDOM_IN_RANGE,1.30,2.50,3,999,7.0,0,"낙뢰 +2","반경 +30%","피해 +30%","낙뢰 +3(총8)",P09,2,E22,"어디서든 무작위 처형; 감전","목표 지정 불가; 보스 집중 어려움",T22,3
S23,도박 주사위,위험 감수 랜덤,"projectile;explosion;gamble",NEAREST,1.00,2.00,1,0,6.0,0,"자해 확률 1/6→1/8","폭발 반경 +30%","주사위 +2","눈 6 시 계수 6.0",P10,2,E23,"기대값 높음(평균 계수 ≈1.9); 광휘 충전","자해 5%; 분산 큼",T23,2
S24,그림자 분신,공격 복제,"clone;copy;support",SELF,0.50,0.00,1,0,0,0,"복제 계수 65%","슬롯 2 공격도 복제(50%)","복제 계수 80%","분신 +1(총2)",P02,2,E24,"기본 무기 강한 캐릭터와 상승 효과","자체 피해 없음; 성능 비용 높음",T24,4
