chapter_id,t_start_s,t_end_s,event,enemy_id,amount,formation,note
CH01,0,8,stream,EN01,0.3/s,ring,"튜토리얼: 이동 안내 표시. 8초 전까지 적 없음"
CH01,8,30,stream,EN01,0.6/s,ring,"첫 무리 6마리 한 방향(line). 15초 첫 레벨업(카드 풀 고정: S03 산탄 확정 포함)"
CH01,25,25,burst,EN01,10,two_lines,"두 방향 협공 학습"
CH01,30,90,stream,EN01,0.8/s,ring,"30초 두 번째 레벨업"
CH01,60,60,burst,EN01,25,ring,"첫 밀집 웨이브(범위 스킬 학습)"
CH01,90,120,stream,EN02,0.5/s,ring,"들개 등장(빠름). 안내: 넉백/회전형"
CH01,120,120,elite,EL01,1,front,"거대 잔해 = 첫 중간 보스(상자 → 첫 판은 진화 대신 스킬 +2Lv 확정)"
CH01,120,300,stream,"EN01;EN02",1.0/s,ring,""
CH01,180,180,burst,EN02,20,flank,""
CH01,240,240,burst,EN01,40,ring,""
CH01,300,300,boss_mid,BS01m,1,center,"거목 축소형(HP 60%, 패턴 1·2). 상자: 진화 확정(첫 판 S01+P03 유도 카드 풀)"
CH01,300,480,stream,"EN01;EN02",1.2/s,ring,""
CH01,360,360,burst,"EN01;EN02",50,ring,""
CH01,420,420,burst,EN01,60,ring,""
CH01,480,480,beacon,-,-,center,"봉화 점화 안내. 적 전체 봉화 방향으로"
CH01,480,510,stream,"EN01;EN02",1.4/s,beacon_siege,""
CH01,510,510,boss_final,BS01,1,north,"최종 보스. 처치 시 클리어"
CH01,510,600,stream,EN01,0.5/s,ring,"보스 중 생성 50%"
CH02,0,20,stream,EN01,0.4/s,front,""
CH02,20,90,stream,"EN01;EN03",0.7/s,alt,"쥐 10마리 단위"
CH02,30,30,burst,EN01,15,line,""
CH02,90,180,stream,"EN01;EN03;EN04",0.9/s,alt,"허수아비 등장(단단함)"
CH02,120,120,elite,EL01,1,front,"3분 아님, 2:00 예비 엘리트"
CH02,150,150,burst,EN03,30,both_lines,""
CH02,180,180,boss_mid,EL01,1,front,"3:00 중간 보스 1 = EL01 (상자)"
CH02,180,300,stream,"EN01;EN03;EN04",1.0/s,alt,""
CH02,240,240,burst,EN04,25,line,""
CH02,300,450,stream,ALL,1.1/s,both,"수레 파괴 안내"
CH02,330,330,gimmick,-,-,-,"골목 1 폐쇄 30s"
CH02,360,360,burst,"EN01;EN03",40,both_lines,""
CH02,450,450,boss_mid,BS01m,1,front,"7:30 중간 보스 2"
CH02,450,660,stream,ALL,1.3/s,both,""
CH02,540,540,burst,ALL,60,both_lines,""
CH02,600,600,gimmick,-,-,-,"골목 2 폐쇄 30s"
CH02,660,660,boss_mid,EL03,1,front,"11:00 중간 보스 3 = 철벽 파수병(후면 학습)"
CH02,660,780,stream,ALL,1.4/s,both,""
CH02,720,720,burst,ALL,80,both_lines,""
CH02,780,780,beacon,-,-,center,""
CH02,780,840,stream,ALL,1.5/s,beacon_siege,""
CH02,840,840,boss_final,BS03,1,center,"종지기"
CH02,840,900,stream,EN03,0.6/s,alt,""
CH03,0,20,stream,EN01,0.4/s,ring,""
CH03,20,90,stream,"EN01;EN02",0.75/s,ring,"가시 덤불 12개 초기 배치"
CH03,45,45,burst,EN02,16,flank,""
CH03,90,180,stream,"EN01;EN02;EN05",0.9/s,ring,"멧돼지 돌진 학습(예고 2s)"
CH03,110,110,burst,EN05,8,dash_line,""
CH03,150,150,burst,EN01,30,ring,""
CH03,180,180,boss_mid,EL02,1,front,"알파 늑대(돌진 후 무리)"
CH03,180,300,stream,ALL,1.0/s,ring,""
CH03,240,240,burst,EN05,12,dash_cross,""
CH03,300,450,stream,ALL,1.15/s,ring,"어둠 지대 10% 안내(보석 ×1.5)"
CH03,360,360,burst,"EN02;EN01",45,ring,""
CH03,420,420,burst,EN05,16,dash_cross,""
CH03,450,450,boss_mid,BS01m,1,front,""
CH03,450,660,stream,ALL,1.3/s,ring,""
CH03,540,540,burst,ALL,60,ring,""
CH03,600,600,burst,EN05,20,dash_cross,""
CH03,660,660,boss_mid,EL01,1,front,""
CH03,660,780,stream,ALL,1.45/s,ring,""
CH03,720,720,burst,ALL,80,ring,""
CH03,780,780,beacon,-,-,center,""
CH03,780,840,stream,ALL,1.5/s,beacon_siege,""
CH03,840,840,boss_final,BS02,1,north,"들개 왕"
CH03,840,900,stream,EN02,0.6/s,ring,""
CH04,0,20,stream,EN01,0.4/s,pts2,"경기장 반경 9u, 가장자리 위험 안내"
CH04,20,90,stream,"EN01;EN02",0.8/s,pts4,""
CH04,50,50,burst,EN01,24,all_pts,""
CH04,90,180,stream,"EN01;EN02;EN06",1.0/s,pts6,"나방 회피형 + 사망 화상 장판"
CH04,140,140,burst,EN06,20,all_pts,""
CH04,180,180,boss_mid,EL01,1,pts_north,""
CH04,180,300,stream,ALL,1.1/s,pts6,"촛불 정령(가속 지원) 등장 — 붉은 표시"
CH04,200,200,support,EN11,2,pts_far,""
CH04,240,240,burst,EN02,32,all_pts,""
CH04,300,450,stream,ALL,1.25/s,pts8,""
CH04,330,330,support,EN11,3,pts_far,""
CH04,390,390,burst,ALL,48,all_pts,""
