id,chapter_id,tier,name,rules,params,reward,unlock
CL001,CH01,1,첫 시험: 좁은 시야,R01,vision=0.6,"medal=21;core=5",CH05 클리어
CL002,CH01,2,새로고침 없는 밤,R06;R10,contact=2,"medal=42;core=10;enh=1",CL001
CL003,CH01,3,파수꾼 세라의 첫 임무,R21;R05,char=C02;cards=2,"medal=63;core=15;enh=2;dust=20",CL002
CL004,CH02,1,막힌 골목,R03,move=0.75,"medal=22;core=5",CH05 클리어
CL005,CH02,2,골목의 화살비,R26;R01,ranged=2;vision=0.6,"medal=44;core=10;enh=1",CL004
CL006,CH02,3,줄어든 탄창,R13;R06;R25,proj=-1,"medal=66;core=15;enh=2;dust=20",CL005
CL007,CH03,1,폭주하는 언덕,R19,spd=1.3,"medal=23;core=5",CH05 클리어
CL008,CH03,2,멧돼지 러시,R18;R19,bosses=5;spd=1.3,"medal=46;core=10;enh=1",CL007
CL009,CH03,3,회복 없는 언덕,R08;R21,char=C03,"medal=69;core=15;enh=2;dust=20",CL008
CL010,CH04,1,좁아진 절벽,R17,time=600,"medal=24;core=5",CH05 클리어
CL011,CH04,2,근접 결투,R14;R10,range=4;contact=2,"medal=48;core=10;enh=1",CL010
CL012,CH04,3,두 장의 절벽,R05;R23;R24,cards=2;passive=3,"medal=72;core=15;enh=2;dust=20",CL011
CL013,CH05,1,완전한 안개,R02,dark=1.0,"medal=25;core=5",CH05 클리어
CL014,CH05,2,짧은 독,R11;R01,status=0.5;vision=0.6,"medal=50;core=10;enh=1",CL013
CL015,CH05,3,늪의 홀로서기,R25;R08;R19,spd=1.3,"medal=75;core=15;enh=2;dust=20",CL014
CL016,CH06,1,두꺼운 잔해,R20,hp=1.5,"medal=26;core=5",CH06 클리어
CL017,CH06,2,소환 없는 초원,R16;R12,elite=0.5,"medal=52;core=10;enh=1",CL016
CL018,CH06,3,이든의 귀향,R21;R22;R06,char=C01;ban=S21;S22,"medal=78;core=15;enh=2;dust=20",CL017
CL019,CH07,1,가시밭,R10,contact=2,"medal=27;core=5",CH07 클리어
CL020,CH07,2,원거리 사냥,R15;R19,range=3;spd=1.3,"medal=54;core=10;enh=1",CL019
CL021,CH07,3,거목의 시험,R18;R08;R05,bosses=5;cards=2,"medal=81;core=15;enh=2;dust=20",CL020
CL022,CH08,1,종탑의 화살비,R26,ranged=2,"medal=28;core=5",CH08 클리어
CL023,CH08,2,멈춘 시계탑,R07;R03,move=0.75,"medal=56;core=10;enh=1",CL022
CL024,CH08,3,인형의 골목(브란),R21;R13;R09,char=C03;proj=-1;heal=0.5,"medal=84;core=15;enh=2;dust=20",CL023
CL025,CH09,1,늑대의 속도,R19,spd=1.3,"medal=29;core=5",CH09 클리어
CL026,CH09,2,엘리트 사냥터,R12;R20,elite=0.5;hp=1.5,"medal=58;core=10;enh=1",CL025
CL027,CH09,3,홀로 남은 사냥꾼,R25;R24;R10,contact=2,"medal=87;core=15;enh=2;dust=20",CL026
CL028,CH10,1,등대의 두 장,R05,cards=2,"medal=30;core=5",CH10 클리어
CL029,CH10,2,근접 등대,R14;R26,range=4;ranged=2,"medal=60;core=10;enh=1",CL028
CL030,CH10,3,카일의 등대 폭파,R21;R17;R08,char=C05;time=600,"medal=90;core=15;enh=2;dust=20",CL029
CL031,CH11,1,망령의 어둠,R02,dark=1.0,"medal=31;core=5",CH11 클리어
CL032,CH11,2,얇은 지원,R23;R01,passive=3;vision=0.6,"medal=62;core=10;enh=1",CL031
CL033,CH11,3,봉인된 광선,R22;R19;R06,ban=S12;S06;spd=1.3,"medal=93;core=15;enh=2;dust=20",CL032
CL034,CH12,1,멈춘 갱도,R07,cdr=0,"medal=32;core=5",CH12 클리어
CL035,CH12,2,갱도 보스 러시,R18;R03,bosses=5;move=0.75,"medal=64;core=10;enh=1",CL034
CL036,CH12,3,루카의 기계 없는 날,R21;R16;R13,char=C06;proj=-1,"medal=96;core=15;enh=2;dust=20",CL035
CL037,CH13,1,깊은 어둠의 시야,R01,vision=0.6,"medal=33;core=5",CH13 클리어
CL038,CH13,2,안개 속 폭주,R19;R02,spd=1.3;dark=1.0,"medal=66;core=10;enh=1",CL037
CL039,CH13,3,회복 없는 안개(니아),R21;R08;R05,char=C04;cards=2,"medal=99;core=15;enh=2;dust=20",CL038
CL040,CH14,1,인형 극장 두 장,R05,cards=2,"medal=34;core=5",CH14 클리어
CL041,CH14,2,극장 화살비,R26;R10,ranged=2;contact=2,"medal=68;core=10;enh=1",CL040
CL042,CH14,3,분열 대군 압축,R17;R20;R25,time=600;hp=1.5,"medal=102;core=15;enh=2;dust=20",CL041
CL043,CH15,1,사금 시간 압축,R17,time=600,"medal=35;core=5",CH15 클리어
CL044,CH15,2,느린 광부,R03;R12,move=0.75;elite=0.5,"medal=70;core=10;enh=1",CL043
CL045,CH15,3,마르의 도박 갱도,R21;R06;R24,char=C07,"medal=105;core=15;enh=2;dust=20",CL044
CL046,CH16,1,절벽 폭주,R19,spd=1.3,"medal=36;core=5",CH16 클리어
CL047,CH16,2,근접 절벽 결전,R14;R08,range=4,"medal=72;core=10;enh=1",CL046
CL048,CH16,3,줄어든 탄창 결전,R13;R23;R18,proj=-1;passive=3;bosses=5,"medal=108;core=15;enh=2;dust=20",CL047
CL049,CH17,1,사냥개의 이빨,R10,contact=2,"medal=37;core=5",CH17 클리어
CL050,CH17,2,완전한 밤,R02;R19,dark=1.0;spd=1.3,"medal=74;core=10;enh=1",CL049
CL051,CH17,3,오르의 짐승 없는 밤,R21;R25;R16,char=C08,"medal=111;core=15;enh=2;dust=20",CL050
CL052,CH18,1,기관실 화살비,R26,ranged=2,"medal=38;core=5",CH18 클리어
CL053,CH18,2,멈춘 기관,R07;R05,cards=2,"medal=76;core=10;enh=1",CL052
CL054,CH18,3,원거리 기관실,R15;R03;R09,range=3;move=0.75;heal=0.5,"medal=114;core=15;enh=2;dust=20",CL053
CL055,CH19,1,둥지의 독,R11,status=0.5,"medal=39;core=5",CH19 클리어
CL056,CH19,2,두꺼운 둥지,R20;R01,hp=1.5;vision=0.6,"medal=78;core=10;enh=1",CL055
CL057,CH19,3,페이의 짧은 고통,R21;R11;R06,char=C11;status=0.5,"medal=117;core=15;enh=2;dust=20",CL056
