id,slot,name,set_id,main_stat,base_value,opt1_rare,opt2_epic,legend_effect,source_hint
EQ01,WPN,파수꾼의 단검,ESET01,atk,20,"공격력 +3%","공격 속도 +4%","모든 스킬 피해 +8%","챕터 1~ 상자"
EQ02,WPN,별빛 활,ESET02,atk,22,"투사체 속도 +10%","투사체 피해 +6%","projectile 스킬 투사체 +1","챕터 3~ 상자"
EQ03,WPN,등불 지팡이,ESET03,atk,20,"beam·field 피해 +6%","지속 +8%","광선·장판이 표식 부여","챕터 8~ 상자"
EQ04,WPN,폭약 망치,ESET04,atk,24,"폭발 반경 +8%","폭발 피해 +6%","폭발 시 10% 확률 2회 폭발","챕터 12~ 상자"
EQ05,WPN,사슬 낫,ESET05,atk,23,"근접·회전 피해 +6%","넉백 +20%","회전형 스킬 반경 +20%","챕터 6~ 상자"
EQ06,WPN,조련사의 피리,ESET06,atk,18,"소환체·펫 피해 +8%","소환체 체력 +15%","소환체 공격 간격 -10%","챕터 15~ 상자"
EQ07,WPN,역병의 낫,ESET07,atk,21,"상태 이상 피해 +8%","상태 이상 지속 +8%","상태 이상 중첩 상한 +1","챕터 19~ 상자"
EQ08,WPN,도박사의 카드,ESET08,atk,25,"치명타 확률 +4%","치명타 피해 +10%","받는 피해 +5%, 치명타 확률 +8%","챕터 22~ 상자"
EQ09,ARM,파수단 외투,ESET01,hp,200,"최대 체력 +3%","방어 +8","받는 피해 -5%","챕터 1~ 상자"
EQ10,ARM,가시 갑옷,ESET02,hp,180,"접촉 시 반격 계수 0.2","방어 +6","반격 계수 0.6, 출혈 부여","챕터 4~ 상자"
EQ11,ARM,빛의 사슬,ESET03,hp,180,"보호막 +3%","보호막 재생 +20%","보호막이 깨질 때 반경 2u 계수 1.0 폭발","챕터 9~ 상자"
EQ12,ARM,그림자 망토,ESET04,hp,160,"회피 +3%","이동 속도 +3%","회피 시 다음 공격 피해 +30%","챕터 13~ 상자"
EQ13,ARM,철벽 흉갑,ESET05,hp,240,"방어 +12","넉백 저항 +50%","접촉 피해 -20%","챕터 7~ 상자"
EQ14,ARM,생명의 갑주,ESET06,hp,200,"재생 +0.3%/s","회복 효과 +8%","체력 30% 이하 시 재생 3배","챕터 14~ 상자"
EQ15,ARM,도금 갑옷,ESET07,hp,170,"금화 획득 +5%","최대 체력 +3%","금화 획득 +15%, 사금 정령 등장 +50%","챕터 15~ 상자"
EQ16,ARM,야수 가죽,ESET08,hp,190,"펫 체력 +10%","펫 부활 시간 -20%","펫 사망 시 플레이어 보호막 20%","챕터 17~ 상자"
EQ17,NCK,등불 펜던트,ESET01,atk,10,"광휘 획득 +8%","고유 능력 재발동 간격 -1s","광휘 100 도달 시 반경 3u 계수 1.0 섬광","챕터 2~ 상자"
EQ18,NCK,별 목걸이,ESET02,atk,9,"경험치 +5%","자석 반경 +10%","레벨업 시 반경 4u 적 계수 1.5 피해","챕터 5~ 상자"
EQ19,NCK,사냥꾼의 이빨,ESET03,atk,11,"엘리트 피해 +8%","엘리트 처치 시 회복 5%","엘리트 표식(받는 피해 +15%)","챕터 9~ 상자"
EQ20,NCK,시계 추,ESET04,atk,10,"쿨다운 -4%","지속 +6%","cooldown 스킬 첫 발동 즉시","챕터 12~ 상자"
EQ21,NCK,얼음 결정 목걸이,ESET05,atk,10,"둔화 효과 +10%","빙결 지속 +20%","둔화된 적에게 피해 +10%","챕터 16~ 상자"
