id,name,skill_id,stat_type,stat_common,stat_fine,stat_rare,stat_epic,stat_legend,stat_myth,behavior_epic,behavior_legend,behavior_myth,resonance_lv30
T01,추적 렌즈,S01,atk,1,2,4,6,9,12,"화살이 목표 사망 시 다음 적으로 재유도(1회)","(진화 후) 소폭발이 감전 부여","재유도 2회","별빛 화살비 화살 +2"
T02,관통 날,S02,atk,1,2,4,6,9,12,"창 속도 +40%, 관통마다 피해 +5%(최대 +50%)","(진화 후) 창의 벽이 적 투사체를 막음","관통마다 +8%","창의 벽 지속 +2s"
T03,화약 개조,S03,atk,1,2,4,6,9,12,"파편 확산각 40°→25°(집중), 넉백 +30%","(진화 후) 점사 마지막 발이 관통 1","확산각 20°","폭풍 산탄 4점사"
T04,전도 코일,S04,atk,1,2,4,6,9,12,"연쇄 거리 3u→4.5u","(진화 후) 방전이 표식 부여","연쇄 거리 5u","뇌전 폭풍 갈래 +1"
T05,균형추,S05,hp,1,2,4,6,9,12,"회전 속도 +50%(같은 적 0.4s→0.3s)","(진화 후) 팽창 파동이 적 투사체 소멸","0.25s","황혼의 톱니 반경 +0.5u"
T06,정화 문양,S06,hp,1,2,4,6,9,12,"장판 안에서 플레이어 초당 체력 0.3% 회복","(진화 후) 성역 안 아군 소환체 피해 +20%","0.5%","성역의 낙인 둔화 45%"
T07,추진 모듈,S07,atk,1,2,4,6,9,12,"드론 사격이 관통 1","(진화 후) 격자 내부 적 둔화 20%","관통 2","지휘 드론 미사일 반경 +0.5u"
T08,장갑판,S08,hp,1,2,4,6,9,12,"포탑이 적을 도발(반경 4u 적 50%가 포탑 목표)","(진화 후) 포탑 파괴 시 폭발(계수 3.0)","도발 70%","요새 포탑 3기"
T09,연소 촉매,S09,atk,1,2,4,6,9,12,"항아리 폭발 반경 +30%, 화상 부여 확정","(진화 후) 소폭발도 화상 장판","반경 +45%","화염 폭풍 항아리 4개"
T10,조준 위성,S10,atk,1,2,4,6,9,12,"폭격 지점이 엘리트·보스 우선(HIGHEST_HP)","(진화 후) 크레이터가 적 이동 차단","예고 -0.2s","유성우 12발"
T11,탄성 코어,S11,atk,1,2,4,6,9,12,"구슬이 적에게 맞을 때 분열(1회, 작은 구슬 1)","(진화 후) 잔류 장판 지속 ×2","분열 2회","혜성 구슬 5개"
T12,집광 렌즈,S12,atk,1,2,4,6,9,12,"광선 끝에서 0.5u 폭발(0.5s마다 계수 0.5)","(진화 후) 표식 적에게 광선 피해 ×1.3","폭발 반경 1u","회전 등대 광선 3개"
T13,배양 포자,S13,hp,1,2,4,6,9,12,"독 중첩 상한 5→7","(진화 후) 오라 안에서 플레이어 받는 독·화상 면역","상한 9","역병의 왕관 오라 +1u"
T14,피의 계약서,S14,atk,1,2,4,6,9,12,"잃은 체력당 피해 1.5%→2.0%","(진화 후) 2연격 조건 체력 50%→70%","2.5%","핏빛 맹세 파동 폭 +50%"
T15,복귀 장치,S15,atk,1,2,4,6,9,12,"돌아오는 길 피해 ×1.5","(진화 후) 궤도 반경 3u","×2.0","쌍둥이 달 발사 1s마다"
T16,냉각 심,S16,hp,1,2,4,6,9,12,"빙결 확률 +10%p, 보스 저항 무시 첫 1회/10s","(진화 후) 얼음 결정 폭발이 파편 5개 재산탄","+15%p","빙하 폭발 결정 최대 8개"
T17,불꽃 심지,S17,atk,1,2,4,6,9,12,"채찍 사거리 2.5u→3.5u","(진화 후) 화염 장판이 적 투사체 소각","4u","지옥 채찍 회전 0.25s"
T18,격발 센서,S18,hp,1,2,4,6,9,12,"지뢰 감지 반경 +50%; 보스가 밟으면 계수 ×2","(진화 후) 파편에 화상","×3","추적 지뢰 16개"
T19,목줄,S19,hp,1,2,4,6,9,12,"늑대 재소환 6s→3s","(진화 후) 늑대가 죽은 자리에 3s 출혈 장판","2s","달빛 무리 늑대 5"
T20,중력 안정기,S20,hp,1,2,4,6,9,12,"인력이 엘리트에게도 적용(50%)","(진화 후) 압축 폭발이 적 투사체 흡수","엘리트 100%","특이점 폭발 3s마다"
T21,분광 프리즘,S21,atk,1,2,4,6,9,12,"빛덩이 관통 1","(진화 후) 보석당 빛덩이 2발","관통 2","빛의 군체 초당 상한 20"
T22,피뢰침,S22,atk,1,2,4,6,9,12,"낙뢰 지점이 플레이어 3u 내 적 우선(방어형)","(진화 후) 전기장이 적 소환체 즉사","반경 4u","천벌 최대 20회"
T23,납 주사위,S23,atk,1,2,4,6,9,12,"눈 1 결과가 눈 2로 승격(자해 제거)","(진화 후) 눈 6 시 광휘 +25","눈 2→3","운명의 주사위 5개"
T24,거울 조각,S24,hp,1,2,4,6,9,12,"분신 복제 계수 +15%p","(진화 후) 분신이 플레이어 상태 이상을 대신 받음","+25%p","황혼의 쌍둥이 분신 3"
