id,name,stat,per_level,lv1,lv2,lv3,lv4,lv5,cap,applies_to,stack_type,evo_partner_skills,notes
P01,공격력 강화,atk_pct,10,10,20,30,40,50,"판 내 +50%(장비·특성과 합산 상한 없음)",모든 피해,합연산,S09,"최종 피해 수식의 '합연산 피해 증가'에 포함"
P02,공격 속도,interval_pct,-6,-6,-12,-18,-24,-30,"모든 출처 합산 간격 감소 상한 -50%",모든 공격 스킬 간격,합연산,"S03;S24","cooldown 태그 스킬은 P05와 합산"
P03,투사체 추가,projectiles,+1/+0/+1/+0/+1,+1,"크기 +10%",+2,"크기 +20%",+3,"모든 출처 합산 +6",projectile 태그 스킬,합연산,"S01;S15","드론·포탑·소환체 수에는 미적용"
P04,범위 확장,area_pct,8,8,16,24,32,40,"모든 출처 합산 +80%",range/반경/폭,합연산,"S05;S20","투사체 크기에는 P03이 담당"
P05,쿨다운 감소,cooldown_pct,-8,-8,-16,-24,-32,-40,"P02와 합산 -50%","cooldown 태그(설치·소환·폭격·광선)",합연산,"S07;S12",""
P06,최대 체력,hp_pct,10,10,20,30,40,50,"없음",플레이어 최대 체력,합연산,S17,"레벨업 시 증가분만큼 현재 체력도 증가"
P07,방어,def_flat,12,12,24,36,48,60,"피해감소율 상한 70%",플레이어 피해감소,합연산(DEF),S18,"DR = DEF/(DEF+300)"
P08,이동 속도,move_pct,8,8,16,24,32,40,"모든 출처 합산 +60%",플레이어 이동,합연산,S11,""
P09,흡수 반경,magnet_pct,25,25,50,75,100,125,"반경 4.0u",보석 자석 반경,합연산,S22,""
P10,치명타 확률,crit_pct,6,6,12,18,24,30,"모든 출처 합산 60%",모든 피해,합연산,"S08;S23","기본 5%"
P11,치명타 피해,crit_dmg_pct,20,20,40,60,80,100,"배율 상한 300%",치명타 피해,합연산,S10,"기본 150%"
P12,체력 재생,regen_pct,0.4,0.4,0.8,1.2,1.6,2.0,"초당 최대 체력 5%(흡혈과 별도)",초당 회복,합연산,S19,""
P13,흡혈,lifesteal_pct,1,1,2,3,4,5,"초당 회복 = 최대 체력 5%",피해 → 회복,합연산,S14,"DoT·소환체 피해 제외"
P14,지속시간,duration_pct,12,12,24,36,48,60,"+60%","duration>0 스킬·상태 이상 지속",합연산,S06,""
P15,관통,pierce_flat,"+1/+1/+1/+1/+2",1,2,3,4,6,"관통 ∞ 스킬은 대신 피해 +3%/Lv",관통 없는 projectile 스킬,합연산,S02,""
P16,경험치 획득,xp_pct,8,8,16,24,32,40,"+60%",보석 값,곱연산(별도 항),S21,"시간 계수 후 적용"
P17,보호막,shield_pct,4,4,8,12,16,20,"최대 체력 40%",보호막 최대치,합연산,S16,"6s 미피격 후 초당 10% 재생"
P18,상태이상 강화,status_pct,"피해 +15 / 지속 +10","15/10","30/20","45/30","60/40","75/50","+75% / +50%",모든 상태 이상,합연산,"S04;S13",""
