id,name,ai_type,role,deploy_skill,deploy_interval_s,deploy_coef,assist_skill,hp_pct_of_player,speed_u,evolve_change,awaken_skill,unlock,notes
PT01,반딧불 정령,orbit_shooter,원거리 딜,"빛 구슬: 가장 가까운 적에게 유도 구슬 2발",1.2,0.35,"광휘 획득 +10%",25,6.0,"구슬 3발 + 명중 시 0.6u 소폭발","각성: 플레이어 광휘 100 시 정령도 섬광(계수 1.5 반경 2u)","펫 사육장 해금 시 기본","가장 가벼운 성능 비용"
PT02,늑대 강아지,charger,근접 딜,"돌진 물기: 6u 내 적에게 돌진(계수 0.9), 출혈",2.0,0.90,"근접·회전 피해 +8%",40,5.5,"돌진 후 주변 1u 할퀴기 추가","각성: 플레이어 체력 50% 이하 시 물기 2회","펫 상자","어그로 분산 역할 겸"
PT03,등껍질 거북,tank,방어,"도발 방패: 반경 4u 적 40%가 거북을 목표로, 접촉 피해 계수 0.3",3.0,0.30,"접촉 피해 -8%",80,3.0,"도발 60%, 거북 피격 시 반경 1.5u 넉백","각성: 거북 사망 시 플레이어 보호막 25%","펫 상자","쓰러짐이 잦아 부활 규칙의 기준 펫"
PT04,바람 매,dive_striker,원거리 딜,"급강하: 최대 체력 적에게 급강하(계수 1.4) 후 복귀",2.5,1.40,"투사체 속도 +15%",30,8.0,"급강하 궤적 관통(계수 0.5)","각성: 엘리트·보스 급강하 시 표식","펫 상자","보스전 기여 높음"
PT05,늪 두꺼비,lobber,상태이상,"독 침: 3u 내 무작위 적에게 독 투사체, 독 2중첩",1.5,0.30,"상태 이상 피해 +10%",35,3.5,"독 투사체가 착탄 지점 독 웅덩이 2s","각성: 독 5중첩 적 사망 시 독 확산","주간 위험 구역 상점",""
PT06,불도마뱀,breather,근접 광역,"화염 숨결: 전방 부채꼴 60° 2.5u, 화상",1.0,0.40,"화상 피해 +12%",45,4.5,"숨결 90°, 화상 2중첩","각성: 숨결 궤적 화염 장판 1s","펫 상자",""
PT07,줍는 고양이,collector,편의,"보석 수집: 6u 내 보석을 물어 플레이어에게 배달(3개/초)",0.33,0,"경험치 +6%",30,7.0,"8u, 5개/초, 회복 아이템도 수집","각성: 수집 보석 값 +10%","일일 자원 던전 누적 10회","전투 기여 없음, 성장 속도 기여"
PT08,밤 올빼미,scout,시야·치명타,"밤눈: 플레이어 시야 반경 +20%, 6s마다 가장 가까운 적 표식",6.0,0,"치명타 확률 +5%",30,6.0,"시야 +30%, 표식 2체","각성: 어둠 지대에서 플레이어 치명타 +10%","펫 상자","시야 제한 환경 핵심"
PT09,땅두더지,digger,설치,"지뢰 설치: 4s마다 플레이어 뒤 지뢰(계수 1.2, 반경 1u)",4.0,1.20,"trap·stationary 피해 +10%",35,4.0,"지뢰 2개, 반경 1.3u","각성: 두더지가 적 아래로 파고들어 기절 0.5s","펫 상자",""
PT10,숲 사슴,healer,회복,"회복 오라: 반경 2.5u 안 플레이어·소환체 초당 0.3% 회복",1.0,0,"회복 효과 +10%",40,5.0,"오라 3u, 0.5%","각성: 플레이어 체력 30% 이하 시 1회 20% 즉시 회복(판당 1)","펫 상자","원정·등반탑 핵심"
PT11,까마귀,curser,처치 연계,"저주: 까마귀가 표시한 적(4s마다) 사망 시 반경 1.5u 계수 1.0 폭발 + 광휘 +3",4.0,1.00,"적 처치 시 광휘 +1(초당 최대 5)",25,7.0,"표시 2체, 폭발 2u","각성: 엘리트 사망 시 계수 3.0","등반탑 30층",""
PT12,기계 거미,turret_pet,설치 딜,"거미 포탑: 플레이어 위치에 6s마다 소형 포탑(4s 지속, 0.5s마다 계수 0.4)",6.0,0.40,"소환체 피해 +10%",30,4.0,"포탑 8s, 2기","각성: 포탑이 적 투사체 차단","원정 상점","루카(C06) 시너지"
