id,branch,tier,name,type,effect_per_rank,max_rank,cost_tp,cost_gold,prereq,unlock_cond
TA01,공격,1,날카로운 등불,stat,"공격력 +1%",5,1,500,-,챕터 3
TA02,공격,1,빠른 손,stat,"공격 속도 +1%",5,1,500,-,챕터 3
TA03,공격,1,넓은 시야,stat,"범위 +1%",5,1,500,-,챕터 3
TA04,공격,1,정확한 눈,stat,"치명타 확률 +1%",3,1,500,-,챕터 3
TA05,공격,2,관통의 이해,stat,"projectile 스킬 피해 +2%",5,2,1500,TA01,챕터 6
TA06,공격,2,폭발의 이해,stat,"explosion 스킬 피해 +2%",5,2,1500,TA01,챕터 6
TA07,공격,2,근접의 이해,stat,"melee·orbit 스킬 피해 +2%",5,2,1500,TA02,챕터 6
TA08,공격,2,소환의 이해,stat,"summon 스킬 피해 +2%",5,2,1500,TA03,챕터 6
TA09,공격,3,광선의 이해,stat,"beam·field 스킬 피해 +2%",5,2,3000,TA05|TA06,챕터 10
TA10,공격,3,역병의 이해,stat,"상태 이상 피해 +3%",5,2,3000,TA07|TA08,챕터 10
TA11,공격,3,치명적 일격,stat,"치명타 피해 +5%",4,2,3000,TA04,챕터 10
TA12,공격,3,추가 탄환,util,"projectile 스킬 투사체 +1(랭크 1만, 상한 적용)",1,4,6000,TA05,챕터 12
TA13,공격,4,엘리트 사냥,stat,"엘리트 피해 +3%",5,3,6000,TA09|TA10|TA11,챕터 15
TA14,공격,4,보스 사냥,stat,"보스 피해 +2%",5,3,6000,TA11,챕터 15
TA15,공격,4,연쇄 반응,rule,"적 처치 시 3% 확률 반경 1u 계수 0.5 폭발",3,3,6000,TA06,챕터 15
TA16,공격,4,진화 가속,rule,"진화 짝 패시브 요구 Lv2→Lv1",1,5,10000,TA12,챕터 18
TA17,공격,5,쿨다운 숙련,stat,"cooldown 스킬 간격 -2%",5,3,10000,TA13|TA14,챕터 20
TA18,공격,5,넉백 숙련,stat,"넉백 +10%",3,3,10000,TA15,챕터 20
TA19,공격,5,어둠 사냥꾼,rule,"어둠 지대에서 피해 +4%",5,3,10000,TA13,챕터 22
TA20,공격,5,표식 숙련,rule,"표식 배율 +0.05",4,3,10000,TA16,챕터 22
TA21,공격,6,무기 숙련,stat,"기본 무기(슬롯 1) 피해 +5%",5,4,15000,TA17|TA18,챕터 28
TA22,공격,6,과부하,rule,"광휘 100 도달 시 5s 동안 피해 +15%",3,4,15000,TA19,챕터 28
TA23,공격,6,두 번째 진화,rule,"판당 진화 카드 가중치 ×3→×4",1,5,20000,TA20,챕터 30
TA24,공격,6,융합 연구,rule,"융합 조건: 재료 스킬 Lv5→Lv4",1,6,20000,TA23,챕터 32
TA25,공격,7,황혼의 칼날,stat,"모든 피해 +3%",5,5,30000,TA21|TA22,챕터 40
TA26,공격,7,처형자,rule,"체력 10% 이하 일반 적 즉사(보스·엘리트 제외)",1,6,30000,TA25,챕터 42
TA27,공격,7,완벽한 진화,rule,"진화 후 Lv2 강화가 즉시 적용",1,8,40000,TA24,챕터 45
TA28,공격,7,군주 사냥꾼,rule,"보스 최종 단계에서 피해 +10%",1,8,40000,TA26,챕터 50
TB01,생존,1,단단한 몸,stat,"최대 체력 +1%",5,1,500,-,챕터 3
TB02,생존,1,두꺼운 피부,stat,"방어 +3",5,1,500,-,챕터 3
TB03,생존,1,빠른 발,stat,"이동 속도 +1%",5,1,500,-,챕터 3
TB04,생존,1,넓은 주머니,stat,"자석 반경 +5%",3,1,500,-,챕터 3
TB05,생존,2,자연 회복,stat,"재생 +0.1%/s",5,2,1500,TB01,챕터 6
TB06,생존,2,보호의 빛,stat,"보호막 +1%",5,2,1500,TB02,챕터 6
TB07,생존,2,회피 본능,stat,"회피 +1%",5,2,1500,TB03,챕터 6
TB08,생존,2,접촉 저항,stat,"접촉 피해 -2%",5,2,1500,TB01|TB02,챕터 6
TB09,생존,3,흡혈 기초,stat,"흡혈 +0.5%",4,2,3000,TB05,챕터 10
TB10,생존,3,둔화 저항,stat,"둔화·속박 지속 -10%",3,2,3000,TB07,챕터 10
TB11,생존,3,넉백 저항,stat,"넉백 저항 +15%",3,2,3000,TB08,챕터 10
TB12,생존,3,두 번째 기회,rule,"판당 부활 +1(상한 2)",1,5,6000,TB06,챕터 12
TB13,생존,4,회복 숙련,stat,"회복 효과 +3%",5,3,6000,TB09,챕터 15
TB14,생존,4,보호막 재생,stat,"보호막 재생 대기 -0.5s",4,3,6000,TB06,챕터 15
TB15,생존,4,위험 구역 적응,rule,"위험 구역·가장자리 피해 -10%",3,3,6000,TB10|TB11,챕터 15
TB16,생존,4,봉화의 가호,rule,"봉화 안 회복 +0.2%/s",3,3,6000,TB12,챕터 18
TB17,생존,5,펫 결속,stat,"펫 체력 +10%, 펫 부활 -10%",3,3,10000,TB13,챕터 20
TB18,생존,5,소환체 보호,stat,"소환체 체력 +10%",3,3,10000,TB14,챕터 20
TB19,생존,5,어둠 적응,rule,"어둠 지대 시야 감소 -5%p",3,3,10000,TB15,챕터 22
TB20,생존,5,불굴,rule,"체력 30% 이하 시 받는 피해 -5%",3,3,10000,TB16,챕터 22
TB21,생존,6,철의 의지,stat,"최대 체력 +3%",5,4,15000,TB17|TB18,챕터 28
TB22,생존,6,부활의 불꽃,rule,"부활 시 반경 4u 계수 3.0 폭발 + 넉백",1,4,15000,TB12,챕터 28
